price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
8300000,6000,4,2,2,yes,no,yes,no,yes,2,yes,furnished
8200000,7000,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
8100000,6000,4,2,2,yes,yes,no,no,yes,2,no,furnished
8000000,5000,3,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
7900000,5500,4,2,2,yes,no,no,no,yes,2,yes,furnished
7800000,6500,3,2,2,yes,yes,yes,no,yes,2,no,furnished
7700000,5000,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished
7600000,6000,3,2,2,yes,no,yes,no,yes,2,yes,furnished
7500000,4500,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7400000,5200,3,1,2,yes,no,no,no,yes,1,yes,unfurnished
7300000,4800,3,2,2,yes,no,yes,no,yes,1,no,furnished
7200000,5000,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
7100000,4000,3,2,2,yes,yes,no,no,yes,1,no,furnished
7000000,4200,3,1,2,yes,no,yes,no,yes,1,yes,semi-furnished
6900000,4500,3,1,2,yes,no,no,no,yes,1,no,unfurnished
6800000,3900,3,2,2,yes,yes,yes,no,yes,1,yes,furnished
6700000,3500,2,1,2,yes,no,no,no,yes,1,no,semi-furnished
6600000,3600,3,1,2,yes,no,yes,no,yes,1,yes,unfurnished
6500000,3200,3,1,2,yes,no,no,no,yes,1,no,furnished
6400000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
6300000,3000,3,1,2,yes,yes,no,no,yes,1,yes,semi-furnished
6200000,3500,3,1,1,yes,no,yes,no,no,1,no,unfurnished
6100000,2800,2,1,1,yes,no,no,no,yes,0,yes,furnished
6000000,3000,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
5900000,2500,2,1,1,yes,no,no,no,no,0,no,unfurnished
5800000,3600,3,1,1,yes,no,yes,no,yes,1,yes,furnished
5700000,3100,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
5600000,2800,2,1,1,yes,no,no,no,yes,1,yes,furnished
5500000,3300,3,1,1,yes,no,yes,no,no,0,no,unfurnished
5400000,2600,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
5300000,3000,3,1,1,yes,yes,no,no,yes,1,yes,furnished
5200000,2400,2,1,1,yes,no,no,no,no,0,no,unfurnished
5100000,3500,3,1,2,yes,no,yes,no,yes,1,yes,semi-furnished
5000000,2700,2,1,1,yes,no,no,no,yes,0,no,furnished
4900000,3000,3,1,1,yes,no,no,no,no,1,yes,unfurnished
4800000,2500,2,1,1,yes,yes,no,no,yes,1,no,semi-furnished
4700000,2800,3,1,1,yes,no,yes,no,no,0,no,furnished
4600000,2200,2,1,1,yes,no,no,no,yes,0,yes,unfurnished
4500000,2600,3,1,1,yes,no,no,no,no,1,no,semi-furnished
4400000,2400,2,1,1,yes,yes,no,no,yes,0,no,furnished
4300000,2000,2,1,1,yes,no,no,no,no,0,yes,unfurnished
4200000,2300,3,1,1,yes,no,yes,no,yes,0,no,semi-furnished
4100000,1900,2,1,1,no,no,no,no,no,0,no,unfurnished
4000000,2100,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
3900000,1800,2,1,1,no,no,yes,no,no,0,no,unfurnished
3800000,2500,3,1,1,yes,no,no,no,no,0,yes,furnished
3700000,2000,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
3600000,2200,2,1,1,no,no,no,no,no,0,no,unfurnished
3500000,2400,3,1,1,yes,yes,no,no,yes,0,no,furnished
3400000,1900,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3300000,2100,2,1,1,no,no,yes,no,no,0,no,unfurnished
3200000,1800,2,1,1,yes,no,no,no,yes,0,no,furnished
3100000,2000,2,1,1,no,no,no,no,no,0,no,unfurnished
3000000,1700,2,1,1,no,no,no,no,no,0,no,semi-furnished
2900000,1650,1,1,1,no,no,no,no,no,0,no,unfurnished
2800000,1800,2,1,1,yes,no,no,no,no,0,no,unfurnished
2700000,2000,2,1,1,no,no,no,no,no,0,no,semi-furnished
2600000,1750,1,1,1,no,no,no,no,no,0,no,unfurnished
2500000,1900,2,1,1,no,no,no,no,no,0,no,unfurnished
2450000,1850,2,1,1,no,no,no,no,yes,0,no,semi-furnished
2400000,2100,2,1,1,no,no,yes,no,no,0,no,unfurnished
2350000,1600,1,1,1,no,no,no,no,no,0,no,unfurnished
2300000,1750,2,1,1,no,no,no,no,yes,0,no,semi-furnished
2250000,2000,2,1,1,no,yes,no,no,no,0,no,unfurnished
2200000,1500,1,1,1,no,no,no,no,no,0,no,unfurnished
2150000,1800,2,1,1,no,no,no,no,yes,0,no,semi-furnished
2100000,1600,2,1,1,no,no,no,no,no,0,no,unfurnished
2050000,1400,1,1,1,no,no,no,no,no,0,no,unfurnished
2000000,1550,2,1,1,no,no,no,no,yes,0,no,semi-furnished
1950000,1700,2,1,1,no,no,no,no,no,0,no,unfurnished
1900000,1350,1,1,1,no,no,no,no,no,0,no,unfurnished
1850000,1500,2,1,1,no,no,no,no,yes,0,no,semi-furnished
1800000,1250,1,1,1,no,no,no,no,no,0,no,unfurnished
1750000,1450,2,1,1,no,no,no,no,no,0,no,unfurnished
1700000,1300,1,1,1,no,no,no,no,yes,0,no,semi-furnished
1650000,1200,1,1,1,no,no,no,no,no,0,no,unfurnished
1600000,1350,2,1,1,no,no,no,no,no,0,no,unfurnished
1550000,1100,1,1,1,no,no,no,no,no,0,no,semi-furnished
1500000,1250,2,1,1,no,no,no,no,yes,0,no,unfurnished
1450000,1050,1,1,1,no,no,no,no,no,0,no,unfurnished
1400000,1150,2,1,1,no,no,no,no,no,0,no,semi-furnished
1350000,1000,1,1,1,no,no,no,no,no,0,no,unfurnished
1300000,1100,2,1,1,no,no,no,no,yes,0,no,unfurnished
1250000,950,1,1,1,no,no,no,no,no,0,no,semi-furnished
1200000,1050,1,1,1,no,no,no,no,no,0,no,unfurnished
1180000,900,1,1,1,no,no,no,no,no,0,no,unfurnished
1160000,1000,2,1,1,no,no,no,no,no,0,no,semi-furnished
1140000,850,1,1,1,no,no,no,no,no,0,no,unfurnished
1120000,950,1,1,1,no,no,no,no,yes,0,no,unfurnished
1100000,900,2,1,1,no,no,no,no,no,0,no,semi-furnished
1080000,800,1,1,1,no,no,no,no,no,0,no,unfurnished
1060000,850,1,1,1,no,no,no,no,no,0,no,unfurnished
1040000,900,2,1,1,no,no,no,no,yes,0,no,semi-furnished
1020000,750,1,1,1,no,no,no,no,no,0,no,unfurnished
1000000,800,1,1,1,no,no,no,no,no,0,no,unfurnished
980000,850,2,1,1,no,no,no,no,no,0,no,semi-furnished
960000,700,1,1,1,no,no,no,no,no,0,no,unfurnished
940000,750,1,1,1,no,no,no,no,yes,0,no,unfurnished
920000,800,2,1,1,no,no,no,no,no,0,no,semi-furnished
900000,650,1,1,1,no,no,no,no,no,0,no,unfurnished
880000,700,1,1,1,no,no,no,no,no,0,no,unfurnished
860000,750,2,1,1,no,no,no,no,no,0,no,semi-furnished
840000,600,1,1,1,no,no,no,no,no,0,no,unfurnished
820000,650,1,1,1,no,no,no,no,yes,0,no,unfurnished
800000,700,2,1,1,no,no,no,no,no,0,no,semi-furnished
780000,600,1,1,1,no,no,no,no,no,0,no,unfurnished
760000,650,1,1,1,no,no,no,no,no,0,no,unfurnished
740000,700,2,1,1,no,no,no,no,no,0,no,semi-furnished
720000,550,1,1,1,no,no,no,no,no,0,no,unfurnished
700000,600,1,1,1,no,no,no,no,yes,0,no,unfurnished
680000,650,2,1,1,no,no,no,no,no,0,no,semi-furnished
660000,550,1,1,1,no,no,no,no,no,0,no,unfurnished
640000,600,1,1,1,no,no,no,no,no,0,no,unfurnished
620000,650,2,1,1,no,no,no,no,no,0,no,semi-furnished
600000,500,1,1,1,no,no,no,no,no,0,no,unfurnished
580000,550,1,1,1,no,no,no,no,no,0,no,unfurnished
560000,600,2,1,1,no,no,no,no,no,0,no,semi-furnished
540000,500,1,1,1,no,no,no,no,no,0,no,unfurnished
520000,550,1,1,1,no,no,no,no,yes,0,no,unfurnished
500000,600,2,1,1,no,no,no,no,no,0,no,semi-furnished
480000,450,1,1,1,no,no,no,no,no,0,no,unfurnished
460000,500,1,1,1,no,no,no,no,no,0,no,unfurnished
440000,550,2,1,1,no,no,no,no,no,0,no,semi-furnished
420000,450,1,1,1,no,no,no,no,no,0,no,unfurnished
400000,500,1,1,1,no,no,no,no,yes,0,no,unfurnished
380000,450,2,1,1,no,no,no,no,no,0,no,semi-furnished
360000,400,1,1,1,no,no,no,no,no,0,no,unfurnished
340000,450,1,1,1,no,no,no,no,no,0,no,unfurnished
320000,400,1,1,1,no,no,no,no,no,0,no,semi-furnished
300000,350,1,1,1,no,no,no,no,no,0,no,unfurnished
280000,400,1,1,1,no,no,no,no,no,0,no,unfurnished
260000,350,1,1,1,no,no,no,no,no,0,no,semi-furnished
240000,300,1,1,1,no,no,no,no,no,0,no,unfurnished
220000,350,1,1,1,no,no,no,no,no,0,no,unfurnished
200000,300,1,1,1,no,no,no,no,no,0,no,semi-furnished
180000,280,1,1,1,no,no,no,no,no,0,no,unfurnished
160000,300,1,1,1,no,no,no,no,no,0,no,unfurnished
140000,250,1,1,1,no,no,no,no,no,0,no,semi-furnished
120000,280,1,1,1,no,no,no,no,no,0,no,unfurnished
100000,250,1,1,1,no,no,no,no,no,0,no,unfurnished
